Stanice ID|Doména ID|Přístroj|Začátek měření|Konec měření|Výška přístroje [m]
B2BUDC01|SCE|Sněhoměrná lať|1961-01-01|2017-05-01|0
B2CRUD01|SCE|Sněhoměrná lať|1981-05-01|2020-12-31|0
B2DACI01|SCE|Sněhoměrná lať|1961-01-01|1986-08-31|0
B2DACI01|SCE|Sněhoměrná lať|1986-11-01|2020-12-31|0
B2SLCE01|SCE|Sněhoměrná lať|1961-01-01|2015-07-31|0
B2STAL01|SCE|Sněhoměrná lať|2016-05-01|2020-12-31|0
C1BAVO01|SCE|Sněhoměrná lať|1962-03-01|2016-10-31|0
C1BAVO01|SCE|Sněhoměrná lať|2017-02-01|2020-12-31|0
C1BERN01|SCE|Sněhoměrná lať|1961-01-01|1995-02-28|0
C1BERN01|SCE|Sněhoměrná lať|1995-04-01|1997-05-31|0
C1BERN01|SCE|Sněhoměrná lať|1997-08-01|2020-12-31|0
C1BLAD01|SCE|Sněhoměrná lať|1961-01-01|1961-12-31|0
C1BLAD01|SCE|Sněhoměrná lať|1964-01-01|1980-05-31|0
C1BLAD01|SCE|Sněhoměrná lať|1980-09-01|2020-12-31|0
C1BLAT01|SCE|Sněhoměrná lať|1961-01-01|1975-06-30|0
C1BLAT01|SCE|Sněhoměrná lať|1990-04-01|2020-12-31|0
C1CDVU01|SCE|Sněhoměrná lať|1975-01-23|2020-12-31|0
C1CERP01|SCE|Sněhoměrná lať|1993-08-01|2020-12-31|0
C1CHEL01|SCE|Sněhoměrná lať|1982-01-01|2018-08-31|0
C1CHLM01|SCE|Sněhoměrná lať|1963-08-01|1979-12-31|1
C1CHUR01|SCE|Sněhoměrná lať|1961-01-01|2020-12-31|0
C1CIZO01|SCE|Sněhoměrná lať|1961-01-01|1962-06-30|0
C1DRIT01|SCE|Sněhoměrná lať|1961-01-01|1962-01-31|0
C1DRIT01|SCE|Sněhoměrná lať|1962-04-01|1962-12-31|0
C1DRIT01|SCE|Sněhoměrná lať|1964-01-01|1966-12-31|0
C1DRIT01|SCE|Sněhoměrná lať|1967-11-01|1967-12-31|0
C1DRIT01|SCE|Sněhoměrná lať|1969-02-01|1969-12-31|0
C1DRIT01|SCE|Sněhoměrná lať|1970-02-01|1971-11-30|0
C1DRIT01|SCE|Sněhoměrná lať|1972-01-01|1972-10-31|0
C1DRIT01|SCE|Sněhoměrná lať|1972-12-01|1979-12-31|0
C1DRIT01|SCE|Sněhoměrná lať|1980-03-01|1988-12-31|0
C1FRAN01|SCE|Sněhoměrná lať|1962-06-01|2013-02-28|0
C1FRAN01|SCE|Sněhoměrná lať|2013-04-01|2020-12-31|0
C1HLUB01|SCE|Sněhoměrná lať|1961-01-01|2020-12-31|0
C1HPLA01|SCE|Sněhoměrná lať|1961-01-01|1963-07-26|0
C1HPLA01|SCE|Sněhoměrná lať|1964-01-01|2010-07-31|0
C1HPLA01|SCE|Sněhoměrná lať|2010-09-01|2017-12-31|0
C1HUSI01|SCE|Sněhoměrná lať|1961-01-01|2002-08-10|0
C1HUSI01|SCE|Sněhoměrná lať|2002-09-01|2020-12-31|0
C1HVLT01|SCE|Sněhoměrná lať|1961-12-01|2008-06-30|0
C1JAVO01|SCE|Sněhoměrná lať|1961-01-01|2008-10-31|0
C1JELE01|SCE|Sněhoměrná lať|1994-01-01|2020-01-31|0
C1KATO01|SCE|Sněhoměrná lať|1961-01-01|2018-12-31|0
C1KATO01|SCE|Sněhoměrná lať|2019-02-01|2020-12-31|0
C1KEST01|SCE|Sněhoměrná lať|1961-01-01|2020-12-31|0
C1KHUT01|SCE|Sněhoměrná lať|1995-05-01|2020-12-31|0
C1KOCE01|SCE|Sněhoměrná lať|1975-03-01|2020-12-31|0
C1KRSI01|SCE|Sněhoměrná lať|2013-04-01|2020-12-31|0
C1KTIS01|SCE|Sněhoměrná lať|1994-10-01|2020-12-31|0
C1KVET01|SCE|Sněhoměrná lať|1975-02-01|1990-12-31|0
C1KVET01|SCE|Sněhoměrná lať|1991-07-01|1997-02-28|0
