Stanice ID|Doména ID|Jméno stanice|Začátek měření|Konec měření|Zeměpisná délka|Zeměpisná šířka|Nadmořská výška
B2BUDC01|SCE|Budeč|1961-01-01|2017-05-01|15.5861|49.0872|491
B2CRUD01|SCE|Český Rudolec|1981-05-01|1992-12-31|15.3236|49.0683|515
B2CRUD01|SCE|Český Rudolec|1993-01-01|2020-12-31|15.322222|49.073333|520
B2DACI01|SCE|Dačice|1961-01-01|1969-12-31|15.4331|49.0839|495
B2DACI01|SCE|Dačice|1970-01-01|1986-08-31|15.4331|49.0847|480
B2DACI01|SCE|Dačice|1986-11-01|2020-12-31|15.4344|49.0831|486
B2SLCE01|SCE|Slavonice|1961-01-01|2011-08-31|15.3456|48.9978|517
B2SLCE01|SCE|Slavonice|2011-09-01|2015-07-31|15.355556|48.995833|519
B2STAL01|SCE|Slavonice, Stálkov|2016-05-01|2020-12-31|15.2843|49.0292|639
C1BAVO01|SCE|Bavorov|1962-03-01|1996-05-31|14.0778|49.1228|443
C1BAVO01|SCE|Bavorov|1996-06-01|2016-10-31|14.0803|49.1228|442
C1BAVO01|SCE|Bavorov|2017-02-01|2020-12-31|14.089722|49.123889|416
C1BERN01|SCE|Bernartice|1961-01-01|1995-02-28|14.379167|49.370833|469
C1BERN01|SCE|Bernartice|1995-04-01|1997-05-31|14.379167|49.370833|469
C1BERN01|SCE|Bernartice|1997-08-01|2011-08-31|14.3808|49.3697|467
C1BERN01|SCE|Bernartice|2011-09-01|2020-12-31|14.389167|49.366111|485
C1BLAD01|SCE|Borová Lada, Nový Svět|1961-01-01|1961-12-31|13.6683|48.9911|949
C1BLAD01|SCE|Borová Lada, Nový Svět|1964-01-01|1980-05-31|13.6683|48.9911|893
C1BLAD01|SCE|Borová Lada, Svinná Lada|1980-09-01|1985-12-31|13.6653|48.9936|895
C1BLAD01|SCE|Borová Lada|1986-01-01|2007-10-31|13.6653|48.9936|908
C1BLAD01|SCE|Borová Lada|2007-11-01|2015-02-24|13.6626|48.9915|898
C1BLAD01|SCE|Borová Lada|2015-02-24|2020-12-31|13.661958|48.99055|898
C1BLAT01|SCE|Blatná|1961-01-01|1975-06-30|13.8833|49.4167|420
C1BLAT01|SCE|Blatná|1990-03-01|2020-12-31|13.8731|49.4333|452
C1CDVU01|SCE|Červený Dvůr, Chvalšiny|1975-01-23|2020-12-31|14.2378|48.8514|588
C1CERP01|SCE|Černá v Pošumaví|1993-08-01|1997-06-30|14.1167|48.7333|739
C1CERP01|SCE|Černá v Pošumaví|1997-07-01|2020-12-31|14.1072|48.7356|740
C1CHEL01|SCE|Chelčice|1982-01-01|1994-09-30|14.1667|49.1167|459
C1CHEL01|SCE|Chelčice|1994-10-01|2018-11-06|14.1814|49.1128|466
C1CHEL01|SCE|Chelčice|2018-11-06|2020-12-31|14.169367|49.119265|451
C1CHLM01|SCE|Pěkná, Chlum|1963-08-01|1979-12-31|13.914444|48.862222|744
C1CHUR01|SCE|Churáňov|1961-01-01|1999-12-31|13.6131|49.0683|1118
C1CHUR01|SCE|Churáňov|2000-01-01|2020-12-31|13.615278|49.068333|1117.8
C1CIZO01|SCE|Čížová|1961-01-01|1962-06-30|14.09506|49.356298|437
C1DRIT01|SCE|Dříteň|1961-01-01|1979-12-31|14.3503|49.1461|420
C1DRIT01|SCE|Dříteň|1980-03-01|1988-12-31|14.35|49.1456|420
C1FRAN01|SCE|Frantoly|1962-06-01|2013-02-28|14.0772|48.9861|692
C1FRAN01|SCE|Frantoly|2013-04-01|2020-12-31|14.100278|48.9825|726
C1HLUB01|SCE|Hluboká nad Vltavou|1961-01-01|2002-12-31|14.4325|49.0483|376
C1HLUB01|SCE|Hluboká nad Vltavou|2003-01-01|2020-12-31|14.4356|49.0542|410
C1HPLA01|SCE|Horní Planá, Hůrka|1961-01-01|1963-07-26|14.075421|48.749591|728
C1HPLA01|SCE|Horní Planá|1964-01-01|1972-02-04|14.0344|48.7689|772
C1HPLA01|SCE|Horní Planá|1972-02-05|2017-12-31|14.0342|48.7675|771
C1HUSI01|SCE|Husinec|1961-01-01|2001-10-10|13.9928|49.0397|536
C1HUSI01|SCE|Husinec|2001-10-11|2002-08-11|13.99|49.0525|492
C1HUSI01|SCE|Husinec|2002-09-01|2020-12-31|13.9883|49.0522|483
C1HVLT01|SCE|Horní Vltavice|1961-12-01|2007-10-31|13.7644|48.9547|807
C1HVLT01|SCE|Horní Vltavice|2007-11-01|2008-06-30|13.7889|48.9469|830
C1JAVO01|SCE|Javorník|1961-01-01|2008-10-31|13.6611|49.1392|988
C1JELE01|SCE|Jelení, Nová Pec|1994-01-01|2020-12-31|13.8897|48.8031|810
C1KATO01|SCE|Katovice|1961-01-01|1974-09-30|13.825||415
C1KATO01|SCE|Katovice|1974-10-01|1994-08-31|13.825|49.2708|419
