"domain_id"|"domain_name"|"domain_relative_url"|"domain_file_name"|"domain_url"
"1"|"Průměrná denní teplota vzduchu"|"./T-AVG/HTML/T_kraje.html"|"T_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/T_kraje.html"
"2"|"Maximální denní teplota vzduchu"|"./TMA-21.00/HTML/TMA_kraje.html"|"TMA_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/TMA_kraje.html"
"3"|"Minimální denní teplota vzduchu"|"./TMI-21.00/HTML/TMI_kraje.html"|"TMI_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMI-21.00/HTML/TMI_kraje.html"
"4"|"Průměrná denní relativní vlhkost vzduchu"|"./H-AVG/HTML/H_kraje.html"|"H_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/H-AVG/HTML/H_kraje.html"
"5"|"Denní úhrn srážek"|"./SRA-07.00/HTML/SRA_kraje.html"|"SRA_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/SRA-07.00/HTML/SRA_kraje.html"
"6"|"Výška nově napadlého sněhu"|"./SNO-07.00/HTML/SNO_kraje.html"|"SNO_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/SNO-07.00/HTML/SNO_kraje.html"
"7"|"Celková výška sněhové pokrývky"|"./SCE-07.00/HTML/SCE_kraje.html"|"SCE_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/SCE-07.00/HTML/SCE_kraje.html"
"8"|"Denní úhrn doby trvání slunečního svitu"|"./SSV-00.00/HTML/SSV_kraje.html"|"SSV_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/SSV-00.00/HTML/SSV_kraje.html"
"9"|"Průměrný denní tlak vzduchu"|"./P-AVG/HTML/P_kraje.html"|"P_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/P-AVG/HTML/P_kraje.html"
"10"|"Průměrná denní rychlost větru"|"./F-AVG/HTML/F_kraje.html"|"F_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/F-AVG/HTML/F_kraje.html"
"11"|"Maximální rychlost větru"|"./Fmax-00.00/HTML/Fmax_kraje.html"|"Fmax_kraje.html"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/Fmax-00.00/HTML/Fmax_kraje.html"
