"nuts_id"|"domain_id"|"nuts_name"|"domain_nuts_relative_url"|"domain_nuts_stations_no"|"domain_nuts_file_name"|"nuts_short"|"domain_nuts_url"
1|1|"Hlavní město Praha"|"./Praha.html"|8|"Praha.html"|"Praha"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Praha.html"
2|1|"Středočeský kraj"|"./Stredocesky.html"|44|"Stredocesky.html"|"Stredocesky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Stredocesky.html"
3|1|"Jihočeský kraj"|"./Jihocesky.html"|54|"Jihocesky.html"|"Jihocesky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Jihocesky.html"
4|1|"Plzeňský kraj"|"./Plzensky.html"|25|"Plzensky.html"|"Plzensky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Plzensky.html"
5|1|"Karlovarský kraj"|"./Karlovarsky.html"|20|"Karlovarsky.html"|"Karlovarsky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Karlovarsky.html"
6|1|"Ústecký kraj"|"./Ustecky.html"|40|"Ustecky.html"|"Ustecky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Ustecky.html"
7|1|"Liberecký kraj"|"./Liberecky.html"|29|"Liberecky.html"|"Liberecky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Liberecky.html"
8|1|"Královéhradecký kraj"|"./Kralovehradecky.html"|36|"Kralovehradecky.html"|"Kralovehradecky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Kralovehradecky.html"
9|1|"Pardubický kraj"|"./Pardubicky.html"|28|"Pardubicky.html"|"Pardubicky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Pardubicky.html"
10|1|"Kraj Vysočina"|"./Vysocina.html"|24|"Vysocina.html"|"Vysocina"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Vysocina.html"
11|1|"Jihomoravský kraj"|"./Jihomoravsky.html"|33|"Jihomoravsky.html"|"Jihomoravsky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Jihomoravsky.html"
12|1|"Olomoucký kraj"|"./Olomoucky.html"|64|"Olomoucky.html"|"Olomoucky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Olomoucky.html"
13|1|"Moravskoslezský kraj"|"./Moravskoslezsky.html"|109|"Moravskoslezsky.html"|"Moravskoslezsky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Moravskoslezsky.html"
14|1|"Zlínský kraj"|"./Zlinsky.html"|44|"Zlinsky.html"|"Zlinsky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/HTML/Zlinsky.html"
1|2|"Hlavní město Praha"|"./Praha.html"|8|"Praha.html"|"Praha"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Praha.html"
2|2|"Středočeský kraj"|"./Stredocesky.html"|43|"Stredocesky.html"|"Stredocesky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Stredocesky.html"
3|2|"Jihočeský kraj"|"./Jihocesky.html"|56|"Jihocesky.html"|"Jihocesky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Jihocesky.html"
4|2|"Plzeňský kraj"|"./Plzensky.html"|25|"Plzensky.html"|"Plzensky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Plzensky.html"
5|2|"Karlovarský kraj"|"./Karlovarsky.html"|20|"Karlovarsky.html"|"Karlovarsky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Karlovarsky.html"
6|2|"Ústecký kraj"|"./Ustecky.html"|39|"Ustecky.html"|"Ustecky"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/TMA-21.00/HTML/Ustecky.html"
