"domain_station_id"|"domain_id"|"nuts_id"|"Lokalita"|"Okres"|"Období"|"Soubor ke stažení"|"domain_station_relative_url"|"domain_station_url"|"import_status"
1|1|1|"Praha, Karlov"|"okres Praha"|"1961-2020"|"P1PKAR01_T_N.csv.zip"|"../Praha/P1PKAR01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PKAR01_T_N.csv.zip"|"already imported"
2|1|1|"Praha, Klementinum"|"okres Praha"|"1961-2020"|"P1PKLE01_T_N.csv.zip"|"../Praha/P1PKLE01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PKLE01_T_N.csv.zip"|"already imported"
3|1|1|"Praha, Komořany"|"okres Praha"|"2017-2020"|"P1PKOM01_T_N.csv.zip"|"../Praha/P1PKOM01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PKOM01_T_N.csv.zip"|"already imported"
4|1|1|"Praha, Libuš"|"okres Praha"|"1971-2020"|"P1PLIB01_T_N.csv.zip"|"../Praha/P1PLIB01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PLIB01_T_N.csv.zip"|"already imported"
5|1|1|"Praha, Ruzyně"|"okres Praha"|"1961-2020"|"P1PRUZ01_T_N.csv.zip"|"../Praha/P1PRUZ01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PRUZ01_T_N.csv.zip"|"already imported"
6|1|1|"Praha, Střešovice"|"okres Praha"|"2003-2017"|"P1PSTR01_T_N.csv.zip"|"../Praha/P1PSTR01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PSTR01_T_N.csv.zip"|"already imported"
7|1|1|"Praha, Uhříněves"|"okres Praha"|"1969-2012"|"P1PUHR01_T_N.csv.zip"|"../Praha/P1PUHR01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PUHR01_T_N.csv.zip"|"already imported"
8|1|1|"Praha, Vinohrady - Flora"|"okres Praha"|"2018-2020"|"P1PVIN01_T_N.csv.zip"|"../Praha/P1PVIN01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Praha/P1PVIN01_T_N.csv.zip"|"already imported"
9|1|2|"Rožmitál pod Třemšínem"|"okres Příbram"|"1970-2020"|"C1ROZM01_T_N.csv.zip"|"../Stredocesky/C1ROZM01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/C1ROZM01_T_N.csv.zip"|"already imported"
10|1|2|"Solenice"|"okres Příbram"|"1962-1994"|"C1SOLE01_T_N.csv.zip"|"../Stredocesky/C1SOLE01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/C1SOLE01_T_N.csv.zip"|"already imported"
