"domain_station_id"|"domain_id"|"nuts_id"|"Lokalita"|"Okres"|"Období"|"Soubor ke stažení"|"domain_station_relative_url"|"domain_station_url"|"n"
21|1|2|"Beroun"|"okres Beroun"|"1961-1997"|"P1BERO01_T_N.csv.zip"|"../Stredocesky/P1BERO01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1BERO01_T_N.csv.zip"|2
22|1|2|"Beroun, Kralův Dvůr"|"okres Beroun"|"1982-1993"|"P1BERO01_T_N.csv.zip"|"../Stredocesky/P1BERO01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1BERO01_T_N.csv.zip"|2
28|1|2|"Lány"|"okres Rakovník"|"1983-2007"|"P1LANY01_T_N.csv.zip"|"../Stredocesky/P1LANY01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1LANY01_T_N.csv.zip"|2
29|1|2|"Lány"|"okres Kladno"|"2007-2020"|"P1LANY01_T_N.csv.zip"|"../Stredocesky/P1LANY01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1LANY01_T_N.csv.zip"|2
30|1|2|"Hostomice"|"okres Beroun"|"1961-1980"|"P1NEUM01_T_N.csv.zip"|"../Stredocesky/P1NEUM01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1NEUM01_T_N.csv.zip"|2
31|1|2|"Neumětely"|"okres Beroun"|"1981-2020"|"P1NEUM01_T_N.csv.zip"|"../Stredocesky/P1NEUM01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P1NEUM01_T_N.csv.zip"|2
40|1|2|"Tišice"|"okres Mělník"|"1961-1992"|"P2TUHA01_T_N.csv.zip"|"../Stredocesky/P2TUHA01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P2TUHA01_T_N.csv.zip"|2
41|1|2|"Tuhaň"|"okres Mělník"|"1993-2020"|"P2TUHA01_T_N.csv.zip"|"../Stredocesky/P2TUHA01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P2TUHA01_T_N.csv.zip"|2
49|1|2|"Staňkovice, Nová Ves"|"okres Kutná Hora"|"1988-1996"|"P3STAN01_T_N.csv.zip"|"../Stredocesky/P3STAN01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P3STAN01_T_N.csv.zip"|2
50|1|2|"Vavřinec, Žíšov"|"okres Kutná Hora"|"1996-2020"|"P3STAN01_T_N.csv.zip"|"../Stredocesky/P3STAN01_T_N.csv.zip"|"https://www.chmi.cz/files/portal/docs/meteo/ok/open_data/RDATA/T-AVG/Stredocesky/P3STAN01_T_N.csv.zip"|2
